epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.613,1.69502,4.19193,1.6715,0.34984,0.21735,0.20727,0.13077,1.47735,4.14389,1.50204,0.000405702,0.000405702,0.000405702
2,308.118,1.46591,2.87934,1.49525,0.24899,0.50574,0.25843,0.14711,1.66305,7.62936,1.70511,0.000808799,0.000808799,0.000808799
3,465.23,1.54532,2.9181,1.49648,0.15608,0.31751,0.19215,0.10422,1.82706,6.61056,1.97655,0.00119815,0.00119815,0.00119815
4,595.228,1.6276,2.70035,1.63833,0.21192,0.26774,0.13336,0.06874,1.84726,4.29665,1.90707,0.00118812,0.00118812,0.00118812
5,729.951,1.57954,2.466,1.60472,0.3532,0.24466,0.21925,0.10802,1.93893,3.28451,2.01912,0.0011675,0.0011675,0.0011675
6,860.334,1.50141,2.27687,1.55149,0.25961,0.35021,0.27937,0.13373,1.83604,3.40824,1.83351,0.00114688,0.00114688,0.00114688
7,986.378,1.50838,2.16603,1.58952,0.33318,0.39732,0.2911,0.16235,1.59722,2.71127,1.73306,0.00112625,0.00112625,0.00112625
8,1122.9,1.52712,2.00216,1.58639,0.42659,0.47838,0.42367,0.24568,1.58718,3.30438,1.81658,0.00110563,0.00110563,0.00110563
9,1271.69,1.48345,1.89033,1.59456,0.62505,0.38862,0.45737,0.27945,1.60818,2.18405,1.74706,0.001085,0.001085,0.001085
10,1419.97,1.45028,1.76787,1.5074,0.47869,0.45227,0.42514,0.23645,1.65529,2.1747,1.73069,0.00106437,0.00106437,0.00106437
11,1568.39,1.36947,1.75111,1.46313,0.44269,0.3984,0.37333,0.21607,1.67565,2.25528,1.70726,0.00104375,0.00104375,0.00104375
12,1717.38,1.45526,1.78837,1.60047,0.63133,0.49502,0.5632,0.32425,1.62621,1.83547,1.66823,0.00102312,0.00102312,0.00102312
13,1862.57,1.42428,1.7266,1.51131,0.71144,0.4733,0.54136,0.32842,1.52249,1.88299,1.59747,0.0010025,0.0010025,0.0010025
14,1987.08,1.34743,1.63425,1.44328,0.79062,0.58621,0.64413,0.39036,1.42861,1.62278,1.52039,0.000981875,0.000981875,0.000981875
15,2110.67,1.28683,1.57837,1.39687,0.67813,0.54841,0.63868,0.39926,1.47348,1.70122,1.51218,0.00096125,0.00096125,0.00096125
16,2241.82,1.33265,1.61183,1.42725,0.76162,0.57589,0.6337,0.37229,1.51,1.73832,1.57846,0.000940625,0.000940625,0.000940625
17,2370.58,1.26388,1.40511,1.44006,0.64516,0.52823,0.57078,0.33283,1.56932,1.77242,1.69157,0.00092,0.00092,0.00092
18,2498.77,1.31024,1.50712,1.44244,0.64017,0.60888,0.57902,0.33674,1.45963,1.71316,1.58609,0.000899375,0.000899375,0.000899375
19,2645.75,1.25844,1.43964,1.4204,0.70757,0.5916,0.63756,0.40258,1.48417,1.50979,1.58402,0.00087875,0.00087875,0.00087875
20,2776.4,1.25443,1.37941,1.39935,0.70282,0.59681,0.64177,0.38858,1.46578,1.63044,1.59506,0.000858125,0.000858125,0.000858125
21,2906.11,1.30138,1.33697,1.42968,0.75098,0.54325,0.65052,0.40716,1.51995,1.76538,1.61258,0.0008375,0.0008375,0.0008375
22,3042.99,1.19448,1.22949,1.34747,0.78612,0.58361,0.65191,0.41136,1.45646,1.64605,1.50391,0.000816875,0.000816875,0.000816875
23,3189.28,1.20837,1.23187,1.33716,0.744,0.59813,0.63281,0.38104,1.51886,1.60663,1.53902,0.00079625,0.00079625,0.00079625
24,3334.49,1.16263,1.18553,1.3244,0.6838,0.60225,0.63188,0.37401,1.53087,1.59815,1.62472,0.000775625,0.000775625,0.000775625
25,3480.51,1.16538,1.17916,1.33289,0.78423,0.56801,0.66904,0.41175,1.48442,1.47342,1.59087,0.000755,0.000755,0.000755
26,3628.16,1.18783,1.15312,1.34867,0.83676,0.61959,0.70158,0.4358,1.4213,1.35826,1.55977,0.000734375,0.000734375,0.000734375
27,3773.49,1.18973,1.13197,1.33509,0.81488,0.57946,0.70791,0.42046,1.52678,1.47671,1.59246,0.00071375,0.00071375,0.00071375
28,3921.43,1.09126,1.04292,1.26664,0.78534,0.64573,0.72241,0.44835,1.45195,1.32004,1.53486,0.000693125,0.000693125,0.000693125
29,4067.71,1.14102,1.07065,1.32829,0.73643,0.68905,0.73116,0.46824,1.4506,1.40034,1.55316,0.0006725,0.0006725,0.0006725
30,4211.92,1.07323,0.9959,1.27748,0.74271,0.62773,0.68955,0.4205,1.58205,1.41234,1.66593,0.000651875,0.000651875,0.000651875
31,4357.02,1.09523,1.03239,1.28529,0.67757,0.66502,0.69581,0.45639,1.38819,1.34009,1.53209,0.00063125,0.00063125,0.00063125
32,4491.32,1.10085,0.97729,1.3006,0.77466,0.65677,0.70885,0.43207,1.50704,1.36992,1.59095,0.000610625,0.000610625,0.000610625
33,4619.51,1.07242,0.93445,1.27507,0.75829,0.63873,0.7148,0.44052,1.43975,1.27411,1.53305,0.00059,0.00059,0.00059
34,4749.91,1.06487,0.93827,1.26487,0.72535,0.68479,0.72259,0.45493,1.38498,1.29451,1.49676,0.000569375,0.000569375,0.000569375
35,4882.33,1.04319,0.93281,1.24332,0.72339,0.67406,0.72221,0.46433,1.38977,1.35144,1.48321,0.00054875,0.00054875,0.00054875
36,5024.35,1.04054,0.93621,1.22628,0.80425,0.60309,0.69812,0.46229,1.30611,1.3971,1.42478,0.000528125,0.000528125,0.000528125
37,5153.68,1.02539,0.92922,1.24376,0.79721,0.6223,0.711,0.45651,1.33129,1.34817,1.43195,0.0005075,0.0005075,0.0005075
38,5289.99,0.95934,0.8392,1.2005,0.78245,0.60464,0.71456,0.44313,1.40503,1.29039,1.49258,0.000486875,0.000486875,0.000486875
39,5429.51,0.99826,0.90527,1.25867,0.78971,0.69258,0.73244,0.47991,1.33385,1.22228,1.43982,0.00046625,0.00046625,0.00046625
40,5561.42,0.98461,0.85855,1.21215,0.86723,0.66326,0.7319,0.47957,1.32799,1.20314,1.43502,0.000445625,0.000445625,0.000445625
41,5680.44,0.96347,0.80482,1.19008,0.77901,0.70261,0.73189,0.47534,1.36816,1.20402,1.45792,0.000425,0.000425,0.000425
