epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.163,1.55564,3.75244,1.62415,0.09268,0.20883,0.06124,0.02596,1.58413,83.5896,1.73921,0.000405702,0.000405702,0.000405702
2,645.259,1.47163,2.8608,1.63011,0.25518,0.23122,0.15406,0.08784,1.78833,14.4413,2.08982,0.000810738,0.000810738,0.000810738
3,963.811,1.57965,2.77828,1.6543,0.34249,0.3025,0.06539,0.0288,2.14845,15.3391,2.62811,0.00120399,0.00120399,0.00120399
4,1299.4,1.78231,2.80073,1.92241,0.54569,0.13609,0.14911,0.07086,2.10518,10.2533,2.75393,0.00119696,0.00119696,0.00119696
5,1635.32,1.69267,2.72016,1.84934,0.76412,0.02778,0.01288,0.00382,2.49094,15.6386,3.37434,0.00117929,0.00117929,0.00117929
6,1968.55,1.66254,2.46362,1.77867,0.03222,0.10066,0.00652,0.00234,2.4578,138.121,3.4576,0.00116161,0.00116161,0.00116161
7,2282.85,1.67446,2.34667,1.77889,0.54862,0.22455,0.25992,0.15427,1.96503,3.23542,2.23315,0.00114393,0.00114393,0.00114393
8,2595.56,1.64136,2.11873,1.80452,0.56543,0.38206,0.3907,0.22498,1.85592,2.74047,2.10029,0.00112625,0.00112625,0.00112625
9,2901.11,1.62146,2.06247,1.77435,0.60067,0.21417,0.24969,0.15326,1.8329,3.76625,2.10394,0.00110857,0.00110857,0.00110857
10,3205.53,1.59547,2.08906,1.70328,0.52272,0.42576,0.40172,0.22865,1.64513,2.52697,1.88254,0.00109089,0.00109089,0.00109089
11,3540.5,1.50076,1.90612,1.63915,0.63622,0.36485,0.42951,0.24772,1.56558,2.21839,1.78363,0.00107321,0.00107321,0.00107321
12,3896.92,1.58232,2.00142,1.78058,0.61879,0.36957,0.42322,0.25578,1.70238,2.53208,1.95889,0.00105554,0.00105554,0.00105554
13,4263.72,1.54435,1.9699,1.68337,0.42788,0.39739,0.39309,0.23828,1.57991,2.19442,1.79647,0.00103786,0.00103786,0.00103786
14,4614.57,1.44271,1.82744,1.60233,0.61711,0.52126,0.53312,0.30807,1.72775,1.92193,1.86562,0.00102018,0.00102018,0.00102018
15,4930.51,1.45048,1.74487,1.63806,0.6288,0.47853,0.5215,0.30065,1.60143,1.84278,1.77317,0.0010025,0.0010025,0.0010025
16,5273.99,1.46194,1.79023,1.58824,0.76154,0.5563,0.64732,0.40011,1.51579,1.66634,1.6866,0.000984821,0.000984821,0.000984821
17,5598.87,1.35767,1.6005,1.57667,0.56017,0.48202,0.50251,0.31952,1.61833,1.90041,1.78036,0.000967143,0.000967143,0.000967143
18,5948.62,1.41075,1.62033,1.58749,0.77564,0.49752,0.59407,0.35576,1.51,1.68277,1.68462,0.000949464,0.000949464,0.000949464
19,6293.86,1.35778,1.60828,1.55799,0.72593,0.44232,0.51923,0.32025,1.67408,2.1403,1.83635,0.000931786,0.000931786,0.000931786
20,6647.43,1.3773,1.53309,1.56974,0.7128,0.55204,0.62188,0.3671,1.55893,1.60472,1.79774,0.000914107,0.000914107,0.000914107
21,6993.65,1.41123,1.56426,1.58352,0.78983,0.52191,0.60433,0.36319,1.52743,1.62979,1.70481,0.000896429,0.000896429,0.000896429
22,7335.9,1.34064,1.42742,1.5184,0.67515,0.5305,0.59596,0.36004,1.45682,1.66706,1.67918,0.00087875,0.00087875,0.00087875
23,7692.11,1.28026,1.39689,1.46538,0.78344,0.51734,0.61634,0.37787,1.57635,1.61032,1.72827,0.000861071,0.000861071,0.000861071
24,8035.75,1.24023,1.3353,1.44947,0.68752,0.47289,0.534,0.33514,1.56129,1.83305,1.81136,0.000843393,0.000843393,0.000843393
25,8399.7,1.33474,1.39551,1.51195,0.74177,0.57009,0.60566,0.36975,1.48606,2.01415,1.70692,0.000825714,0.000825714,0.000825714
26,8742.94,1.24684,1.35195,1.45519,0.7539,0.52743,0.62379,0.39601,1.48437,1.57969,1.67538,0.000808036,0.000808036,0.000808036
27,9089.95,1.27261,1.30848,1.46224,0.64276,0.53944,0.61997,0.38591,1.55049,1.53584,1.79849,0.000790357,0.000790357,0.000790357
28,9436.27,1.22445,1.24221,1.44111,0.71271,0.57802,0.63639,0.4049,1.52155,1.54123,1.72511,0.000772679,0.000772679,0.000772679
29,9780.64,1.25804,1.24599,1.47734,0.79602,0.5636,0.66314,0.42905,1.4504,1.40441,1.66814,0.000755,0.000755,0.000755
