epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3468,2.17839,6.4611,2.01028,0.57919,0.25,0.08397,0.05053,1.436,6.60323,1.95226,3.333e-05,3.333e-05,3.333e-05
2,38.9146,1.60651,4.46427,1.62272,0.71032,0.25,0.3059,0.19203,1.40183,5.75669,1.80004,7.62302e-05,7.62302e-05,7.62302e-05
3,56.3428,1.64421,4.49188,1.72226,0.5228,0.3125,0.19889,0.13678,1.50015,6.1253,1.83522,0.00011737,0.00011737,0.00011737
4,72.6374,1.45226,4.45399,1.53722,0.33389,0.5,0.27959,0.1077,1.32656,7.23221,1.52866,0.000156751,0.000156751,0.000156751
5,89.0592,1.43825,3.19681,1.41976,0.2403,0.1875,0.27786,0.10947,1.48192,5.65246,1.51644,0.000194372,0.000194372,0.000194372
6,106.755,1.04656,2.67241,1.24059,0.34194,0.55953,0.40204,0.19323,1.38513,4.74609,1.42142,0.000230233,0.000230233,0.000230233
7,124.748,1.40085,2.85789,1.38794,0.56458,0.74682,0.50121,0.28822,1.11156,4.71463,1.14149,0.000264334,0.000264334,0.000264334
8,140.474,1.14266,2.42963,1.291,0.56459,0.70386,0.53683,0.33763,1.00197,4.79149,1.10822,0.000296675,0.000296675,0.000296675
9,156.717,1.17022,2.21619,1.1977,0.78556,0.375,0.37295,0.20133,1.00066,4.66419,1.11171,0.000327256,0.000327256,0.000327256
10,171.893,1.11693,2.03158,1.20539,0.25929,0.8125,0.34801,0.23299,1.01569,4.70969,1.10792,0.000356078,0.000356078,0.000356078
11,187.553,1.38275,2.38425,1.43822,0.57177,0.75,0.56293,0.32843,1.11866,4.04937,1.1581,0.000383139,0.000383139,0.000383139
12,204.418,1.17932,2.02022,1.2328,0.63619,0.75,0.69716,0.44885,1.13101,3.95056,1.2199,0.000408441,0.000408441,0.000408441
13,220.752,1.38477,2.23763,1.40024,0.39544,0.91496,0.67651,0.50086,0.99303,3.89366,1.1983,0.000431983,0.000431983,0.000431983
14,236.324,1.09532,1.76546,1.20584,0.60851,0.67816,0.60901,0.45569,1.00243,3.23978,1.188,0.000453766,0.000453766,0.000453766
15,251.621,1.11796,1.81768,1.10575,0.3425,0.77811,0.53617,0.36891,1.02914,2.88824,1.24894,0.000473788,0.000473788,0.000473788
16,267.54,1.14785,1.6127,1.24078,0.3425,0.77811,0.53617,0.36891,1.02914,2.88824,1.24894,0.000492051,0.000492051,0.000492051
17,283.129,0.95806,1.39637,1.06948,0.26947,0.75,0.58736,0.38898,1.10799,2.79928,1.29728,0.000508554,0.000508554,0.000508554
18,299.044,0.92225,1.52252,1.09327,0.64417,0.8125,0.87781,0.61822,1.01951,2.63257,1.26338,0.000523297,0.000523297,0.000523297
19,314.575,1.00197,1.45892,1.12002,0.64417,0.8125,0.87781,0.61822,1.01951,2.63257,1.26338,0.00053628,0.00053628,0.00053628
20,329.746,0.9885,1.53045,1.24336,0.78155,0.79097,0.76604,0.53284,1.12248,2.36578,1.35245,0.000547503,0.000547503,0.000547503
21,344.817,0.9574,1.39467,1.10276,0.59595,0.7171,0.67441,0.4391,1.0723,2.5289,1.29969,0.000556967,0.000556967,0.000556967
22,359.827,1.08788,1.35022,1.106,0.59595,0.7171,0.67441,0.4391,1.0723,2.5289,1.29969,0.00056467,0.00056467,0.00056467
23,375.885,1.21087,1.41204,1.299,0.71226,0.5,0.61432,0.40356,1.05265,2.73485,1.3581,0.000570614,0.000570614,0.000570614
24,390.863,1.01501,1.30479,1.14427,0.71226,0.5,0.61432,0.40356,1.05265,2.73485,1.3581,0.000574798,0.000574798,0.000574798
25,406.605,0.94777,1.25485,1.11957,0.43825,0.59866,0.60465,0.40352,1.13494,2.5467,1.40332,0.000577222,0.000577222,0.000577222
26,421.993,1.02559,1.17215,1.19104,0.43825,0.59866,0.60465,0.40352,1.13494,2.5467,1.40332,0.000561055,0.000561055,0.000561055
27,438.136,0.95418,1.37531,1.16343,0.6443,0.5,0.60952,0.46233,1.19886,2.63201,1.40718,0.000539057,0.000539057,0.000539057
28,453.178,1.03239,1.38592,1.28467,0.6443,0.5,0.60952,0.46233,1.19886,2.63201,1.40718,0.000517059,0.000517059,0.000517059
