epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25774.1,1.11464,1.18325,1.40017,0.68876,0.5442,0.61786,0.37341,1.47888,1.61086,1.71994,0.000525179,0.000525179,0.000525179
43,26234.6,1.03778,1.0929,1.35033,0.81677,0.51552,0.6327,0.41015,1.36273,1.53384,1.67478,0.0005075,0.0005075,0.0005075
44,26694.9,1.0867,1.17611,1.39441,0.73365,0.57348,0.64272,0.40564,1.4288,1.60231,1.67926,0.000489821,0.000489821,0.000489821
45,27152.3,1.08945,1.08357,1.35404,0.74591,0.64455,0.68618,0.42042,1.43592,1.48225,1.66977,0.000472143,0.000472143,0.000472143
46,27608.3,1.0276,1.03032,1.33086,0.6974,0.64272,0.68345,0.44222,1.34768,1.39062,1.6353,0.000454464,0.000454464,0.000454464
47,28067.7,1.01947,0.98622,1.3216,0.79963,0.58747,0.69471,0.42874,1.36699,1.44056,1.64833,0.000436786,0.000436786,0.000436786
48,28519.7,1.10267,1.05427,1.40675,0.68547,0.61445,0.64816,0.40959,1.43518,1.41552,1.67106,0.000419107,0.000419107,0.000419107
49,28980,1.09462,1.0771,1.37811,0.72836,0.57501,0.65619,0.42742,1.37708,1.48093,1.62819,0.000401429,0.000401429,0.000401429
50,29437.5,1.03783,1.0083,1.31421,0.79446,0.58562,0.6737,0.43484,1.36827,1.40404,1.66208,0.00038375,0.00038375,0.00038375
51,29891.1,1.02578,0.98141,1.3537,0.70342,0.65295,0.69602,0.45319,1.38514,1.41868,1.67591,0.000366071,0.000366071,0.000366071
52,30359,0.96902,0.94725,1.30482,0.7571,0.6802,0.7116,0.45854,1.39818,1.36786,1.70525,0.000348393,0.000348393,0.000348393
53,30817.3,0.99411,0.95706,1.32156,0.85563,0.61774,0.69848,0.46153,1.36982,1.37912,1.67195,0.000330714,0.000330714,0.000330714
54,31273.8,1.00381,0.93728,1.31105,0.76002,0.63362,0.68603,0.4541,1.33635,1.40534,1.62751,0.000313036,0.000313036,0.000313036
55,31728.7,0.95551,0.88461,1.28659,0.78729,0.6104,0.69097,0.44458,1.38723,1.37987,1.65514,0.000295357,0.000295357,0.000295357
56,32188.5,0.93562,0.92363,1.24986,0.74607,0.6216,0.69134,0.43846,1.39388,1.41234,1.63459,0.000277679,0.000277679,0.000277679
57,32646,0.9617,0.89763,1.30431,0.70027,0.693,0.70748,0.45813,1.36752,1.3674,1.63508,0.00026,0.00026,0.00026
58,33110.6,0.92548,0.82114,1.25371,0.81972,0.61561,0.71463,0.47171,1.33521,1.37288,1.58279,0.000242321,0.000242321,0.000242321
59,33565.6,0.9221,0.87457,1.24444,0.64889,0.64874,0.70789,0.47607,1.34085,1.33234,1.59549,0.000224643,0.000224643,0.000224643
60,34017.9,0.89126,0.79073,1.25241,0.72946,0.65054,0.70673,0.4673,1.35191,1.30853,1.60574,0.000206964,0.000206964,0.000206964
61,34470.2,0.79798,0.68414,1.18251,0.71341,0.65131,0.7056,0.46973,1.32515,1.37436,1.59777,0.000189286,0.000189286,0.000189286
62,34923.9,0.78185,0.65667,1.19149,0.70827,0.6822,0.72505,0.48821,1.28887,1.30172,1.60455,0.000171607,0.000171607,0.000171607
63,35388.9,0.7788,0.6136,1.1801,0.73363,0.68882,0.71496,0.47314,1.29921,1.25798,1.64346,0.000153929,0.000153929,0.000153929
64,35845.2,0.75339,0.61132,1.17319,0.70934,0.70538,0.71599,0.46946,1.31216,1.2281,1.66768,0.00013625,0.00013625,0.00013625
65,36306.1,0.74616,0.59759,1.16092,0.73263,0.68484,0.71648,0.4624,1.30805,1.21969,1.66173,0.000118571,0.000118571,0.000118571
66,36764.8,0.75566,0.59583,1.15638,0.77017,0.67544,0.72187,0.47398,1.31786,1.20514,1.66915,0.000100893,0.000100893,0.000100893
67,37222,0.74127,0.56692,1.1542,0.73468,0.69274,0.7285,0.47794,1.3169,1.23528,1.6583,8.32143e-05,8.32143e-05,8.32143e-05
68,37671.3,0.72749,0.57483,1.14263,0.80353,0.64389,0.72939,0.48075,1.30456,1.2108,1.6497,6.55357e-05,6.55357e-05,6.55357e-05
69,38118.6,0.67348,0.55553,1.1036,0.78718,0.66279,0.72946,0.48372,1.28984,1.21732,1.62934,4.78571e-05,4.78571e-05,4.78571e-05
70,38573,0.69834,0.56754,1.13512,0.78154,0.65346,0.72537,0.48765,1.2824,1.22217,1.61128,3.01786e-05,3.01786e-05,3.01786e-05
