epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0744,2.04002,5.59379,2.04406,0.00031,0.25,0.06219,0.03109,1.76013,8.61559,2.3973,3.75e-05,3.75e-05,3.75e-05
2,80.3987,1.36271,3.71616,1.65642,0.34496,0.0625,0.03193,0.00886,1.58789,37.4341,2.33702,8.62625e-05,8.62625e-05,8.62625e-05
3,118.511,1.34041,3.64304,1.53412,0.5,0.3503,0.38573,0.18946,1.36989,18.5996,1.999,0.000133611,0.000133611,0.000133611
4,156.825,1.52329,3.71476,1.62576,0.48064,0.93327,0.65792,0.42206,1.1854,10.8935,1.67498,0.000179545,0.000179545,0.000179545
5,190.884,1.16771,2.84229,1.34983,0.51201,0.76224,0.65832,0.4925,1.26682,8.28587,1.65219,0.000224064,0.000224064,0.000224064
6,228.175,1.07546,2.55733,1.37941,0.35466,0.72131,0.46924,0.3632,1.14431,7.28011,1.54493,0.00026717,0.00026717,0.00026717
7,264.526,1.3104,2.5323,1.49089,0.47949,0.625,0.25186,0.12766,1.24048,19.6481,2.05401,0.000308861,0.000308861,0.000308861
8,301.204,1.14646,2.0679,1.41355,0.2579,0.49447,0.26171,0.1218,1.32045,23.1902,2.11209,0.000349138,0.000349138,0.000349138
9,335.38,1.26251,2.28283,1.47669,0.29991,0.60797,0.53303,0.25991,1.49472,20.0636,2.01637,0.000388,0.000388,0.000388
10,373.057,1.09788,2.10978,1.35347,0.12947,0.375,0.18027,0.1189,1.34276,8.58881,1.66599,0.000425448,0.000425448,0.000425448
11,436.399,1.41705,2.33844,1.59641,0.59209,0.46991,0.50556,0.29626,1.44617,10.549,1.84631,0.000461482,0.000461482,0.000461482
12,480.865,1.15302,2.18589,1.39038,0.45461,0.75,0.51346,0.32604,1.46474,11.4101,1.80086,0.000496102,0.000496102,0.000496102
13,522.332,1.34708,1.96882,1.5595,0.41156,0.375,0.44394,0.38705,1.51959,7.13016,1.88155,0.000529307,0.000529307,0.000529307
14,561.408,1.21002,1.99537,1.51679,0.35349,0.4375,0.47666,0.35863,1.63333,8.35895,1.94591,0.000561098,0.000561098,0.000561098
15,601.888,1.17778,1.77216,1.33285,0.53173,0.37731,0.46589,0.34199,1.53812,4.21959,1.83553,0.000591475,0.000591475,0.000591475
16,641.364,1.22927,1.93423,1.48358,0.53173,0.37731,0.46589,0.34199,1.53812,4.21959,1.83553,0.000620437,0.000620437,0.000620437
17,682.301,1.1171,1.53159,1.34103,0.63202,0.38127,0.41067,0.35392,1.29962,6.03422,1.54784,0.000647986,0.000647986,0.000647986
18,726.693,1.1417,1.5364,1.42233,0.62947,0.6875,0.7604,0.55693,1.50356,2.95452,2.00862,0.00067412,0.00067412,0.00067412
19,761.48,1.11377,1.78685,1.28453,0.62947,0.6875,0.7604,0.55693,1.50356,2.95452,2.00862,0.000698839,0.000698839,0.000698839
20,807.982,1.12921,2.0558,1.48567,0.64683,0.5625,0.47428,0.31534,1.47267,8.91621,1.89404,0.000722145,0.000722145,0.000722145
21,846.945,1.18873,1.81538,1.38887,0.51139,0.50082,0.37322,0.13532,2.18198,8.17239,2.55694,0.000744036,0.000744036,0.000744036
22,883.837,1.24172,1.55668,1.40922,0.51139,0.50082,0.37322,0.13532,2.18198,8.17239,2.55694,0.000764513,0.000764513,0.000764513
